image_name,xmin,xmax,ymin,ymax,class_id
deer_585_aug_540.jpg,2,96,1,96,5
ship_29_aug_212.jpg,5,96,1,77,9
monkey_416_aug_353.jpg,4,91,1,80,8
deer_41_aug_346.jpg,1,69,1,80,5
monkey_455_aug_396.jpg,1,78,1,85,8
bird_258_aug_177.jpg,17,96,1,96,2
car_993_aug_993.jpg,8,96,1,89,3
dog_206_aug_120.jpg,2,96,18,96,6
car_535_aug_485.jpg,2,96,1,96,3
horse_681_aug_647.jpg,1,88,12,94,7
cat_409_aug_345.jpg,1,83,17,96,4
bird_356_aug_286.jpg,12,96,1,96,2
airplane_714_aug_684.jpg,1,78,9,96,1
bird_79_aug_767.jpg,1,86,1,96,2
ship_855_aug_840.jpg,1,89,1,85,9
airplane_110_aug_14.jpg,1,91,1,96,1
airplane_279_aug_200.jpg,1,96,6,96,1
ship_176_aug_86.jpg,16,96,1,86,9
bird_743_aug_716.jpg,1,92,1,96,2
airplane_848_aug_832.jpg,1,83,14,96,1
car_21_aug_124.jpg,10,91,1,90,3
deer_147_aug_54.jpg,1,86,1,96,5
cat_933_aug_927.jpg,1,95,1,86,4
car_927_aug_920.jpg,1,96,16,96,3
cat_486_aug_430.jpg,13,96,1,92,4
horse_970_aug_968.jpg,1,87,10,96,7
deer_296_aug_219.jpg,1,96,1,84,5
bird_570_aug_524.jpg,1,80,23,96,2
cat_580_aug_535.jpg,13,96,5,96,4
car_517_aug_465.jpg,21,96,19,96,3
horse_806_aug_786.jpg,12,96,15,96,7
dog_786_aug_763.jpg,1,82,3,96,6
horse_716_aug_686.jpg,1,86,3,91,7
horse_406_aug_342.jpg,20,96,12,94,7
truck_208_aug_122.jpg,5,96,1,82,10
deer_197_aug_109.jpg,1,96,1,96,5
ship_617_aug_576.jpg,20,96,1,94,9
airplane_80_aug_779.jpg,1,95,5,96,1
truck_912_aug_904.jpg,11,96,12,96,10
airplane_764_aug_739.jpg,1,95,1,84,1
dog_863_aug_849.jpg,1,93,1,76,6
bird_225_aug_141.jpg,7,96,2,96,2
bird_559_aug_511.jpg,4,96,4,96,2
car_571_aug_525.jpg,1,80,22,96,3
cat_145_aug_52.jpg,1,78,1,85,4
ship_795_aug_773.jpg,1,96,12,96,9
horse_175_aug_85.jpg,1,95,3,96,7
airplane_37_aug_301.jpg,1,88,8,95,1
monkey_507_aug_454.jpg,18,96,1,77,8
car_46_aug_401.jpg,1,85,1,91,3
horse_747_aug_720.jpg,1,88,22,96,7
truck_676_aug_641.jpg,4,94,1,90,10
cat_704_aug_673.jpg,29,96,25,96,4
car_801_aug_781.jpg,1,96,1,94,3
deer_182_aug_93.jpg,13,96,1,83,5
airplane_56_aug_512.jpg,1,80,8,96,1
airplane_534_aug_484.jpg,1,87,1,76,1
deer_458_aug_399.jpg,13,96,14,96,5
bird_937_aug_931.jpg,1,86,19,96,2
bird_202_aug_116.jpg,21,96,1,80,2
cat_625_aug_585.jpg,1,88,7,92,4
deer_32_aug_246.jpg,1,96,4,96,5
airplane_1_aug_1.jpg,1,77,2,96,1
truck_983_aug_982.jpg,15,96,1,90,10
car_893_aug_882.jpg,15,96,1,72,3
bird_871_aug_858.jpg,1,88,4,96,2
truck_51_aug_457.jpg,1,89,1,71,10
car_78_aug_756.jpg,17,96,1,96,3
bird_690_aug_657.jpg,1,89,1,80,2
bird_582_aug_537.jpg,1,90,21,96,2
monkey_796_aug_774.jpg,1,86,1,96,8
airplane_68_aug_645.jpg,1,94,8,96,1
airplane_740_aug_713.jpg,8,96,1,87,1
ship_335_aug_263.jpg,1,95,1,92,9
cat_100_aug_3.jpg,24,96,1,89,4
bird_38_aug_312.jpg,1,77,1,75,2
dog_296_aug_219.jpg,11,96,1,96,6
monkey_103_aug_6.jpg,7,96,1,90,8
car_529_aug_478.jpg,1,96,16,96,3
ship_132_aug_38.jpg,9,96,9,96,9
ship_821_aug_803.jpg,16,96,1,74,9
monkey_554_aug_506.jpg,1,90,3,96,8
cat_706_aug_675.jpg,1,83,7,96,4
horse_502_aug_449.jpg,1,79,1,89,7
dog_177_aug_87.jpg,4,96,1,91,6
deer_715_aug_685.jpg,2,95,10,96,5
car_898_aug_887.jpg,4,95,1,96,3
horse_746_aug_719.jpg,1,86,1,79,7
monkey_58_aug_534.jpg,1,93,1,91,8
bird_254_aug_173.jpg,1,75,1,96,2
dog_854_aug_839.jpg,20,96,1,79,6
dog_629_aug_589.jpg,9,96,1,76,6
bird_439_aug_378.jpg,1,96,4,96,2
car_268_aug_188.jpg,1,85,2,96,3
car_403_aug_339.jpg,13,96,17,96,3
cat_260_aug_180.jpg,1,92,25,96,4
monkey_511_aug_459.jpg,13,96,1,90,8
ship_13_aug_35.jpg,12,96,7,96,9
monkey_93_aug_923.jpg,1,78,10,96,8
cat_914_aug_906.jpg,3,96,12,96,4
ship_256_aug_175.jpg,2,81,20,96,9
monkey_643_aug_605.jpg,1,88,2,92,8
monkey_915_aug_907.jpg,5,96,1,85,8
bird_170_aug_80.jpg,1,79,23,96,2
cat_752_aug_726.jpg,1,78,1,96,4
monkey_280_aug_202.jpg,1,78,1,79,8
airplane_892_aug_881.jpg,7,96,11,96,1
bird_918_aug_910.jpg,1,96,14,96,2
ship_815_aug_796.jpg,16,96,1,96,9
ship_871_aug_858.jpg,1,89,12,96,9
truck_352_aug_282.jpg,1,93,1,83,10
cat_414_aug_351.jpg,1,95,1,84,4
airplane_188_aug_99.jpg,16,96,16,96,1
monkey_70_aug_668.jpg,8,96,1,87,8
truck_33_aug_257.jpg,18,96,16,96,10
